HNetID,VIN,Stock #,Stock-Type,Year,Make,Model,Model-No,Model-Type,Transmission,Trim-Level,# of Doors,Mileage,# of Cyl,Engine,Drivetrain,Ext. Color,Int. Color,Invoice Price,Retail Price,Book Value,Selling Price,Entry Date,Certified,Description,Options,Wheelbase,Commercial
2122511,KNDPBCAC1F7781047,K20917,NEW,2015,KIA,SPORTAGE,42422/020,MP,AUTOMATIC,,,9,,,,MINERAL_SILVER/MINERAL_SILVER,,25318.00,26160.00,,26160.00,04/27/15,,,CF CT PKG UVH WL,,
2122511,KNDJN2A21F7780706,K20786,NEW,2015,KIA,SOUL,B1512/010,WG,AUTOMATIC,,,8,,,,SHADOW_BLACK/SHADOW_BLACK,,17822.00,18185.00,,18185.00,04/07/15,,,CF CN,,
2122511,KNDJN2A24F7169245,K20655,NEW,2015,KIA,SOUL,B1512/010,WG,AUTOMATIC,,,9,,,,CLEAR_WHITE/CLEAR_WHITE,,17822.00,18185.00,,18185.00,03/30/15,,,CF CN,,
2122511,5XXGM4A71FG446137,K20524,NEW,2015,KIA,OPTIMA,53222/025,SD,AUTOMATIC,,,4,,,,SMOKEY_BLUE/SMOKEY_BLUE,,23282.00,24120.00,,24120.00,03/13/15,,,CF CKG RS,,
2122511,KNDPBCAC2F7772177,K20656,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,8,,,,CLEAR_WHITE/CLEAR_WHITE,,23763.00,24475.00,,24475.00,03/31/15,,,CF CN,,
2122511,5XXGN4A78FG447394,K20525,NEW,2015,KIA,OPTIMA,53242/030,SD,AUTOMATIC,,,4,,,,DARK_CHERRY/DARK_CHERRY,,27222.00,28750.00,,28750.00,03/13/15,,,BA CA CN CT DSA PB WL,,
2122511,KNDPBCAC3F7780272,K20918,NEW,2015,KIA,SPORTAGE,42422/020,MP,AUTOMATIC,,,9,,,,MINERAL_SILVER/MINERAL_SILVER,,25318.00,26160.00,,26160.00,04/27/15,,,CF CT PKG UVH WL,,
2122511,KNAFK4A65F5394165,K20787,NEW,2015,KIA,Forte,C3422/020,SD,AUTOMATIC,,,11,,,,AURORA_BLACK/AURORA_BLACK,,18020.00,18535.00,,18535.00,04/07/15,,,ABP CF,,
2122511,KNDPBCAC7F7781764,K20919,NEW,2015,KIA,SPORTAGE,42422/020,MP,AUTOMATIC,,,8,,,,BLACK_CHERRY/BLACK_CHERRY,,25318.00,26160.00,,26160.00,04/27/15,,,CF CT PKG UVH WL,,
2122511,KNAFK4A67F5394166,K20788,NEW,2015,KIA,Forte,C3422/020,SD,AUTOMATIC,,,8,,,,AURORA_BLACK/AURORA_BLACK,,18020.00,18535.00,,18535.00,04/07/15,,,ABP CF,,
2122511,KNADN4A32F6466163,K20264,NEW,2015,KIA,RIO,31462/020,SEDAN,,,,4,,G4FDES79385,,ABP/AURORA_BLACK,,18559.00,19450.00,,19450.00,12/01/14,,,CF CNP S4,,
2122511,KNDPBCAC6F7772411,K20657,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,9,,,,CLEAR_WHITE/CLEAR_WHITE,,23763.00,24475.00,,24475.00,03/31/15,,,CF CN,,
2122511,5XXGM4A73FG456233,K20526,NEW,2015,KIA,OPTIMA,53222/025,SD,AUTOMATIC,,,20,,,,EBONY_BLACK/EBONY_BLACK,,22925.00,23695.00,,23695.00,03/13/15,,,CF CKG,,
